,0,1
daft punk>>giorgio by moroder,-35.76538,-5.9471116
a$ap rocky>>f**kin problems,-10.398882,-7.3370476
macklemore & ryan lewis>>same love - feat. mary lambert,19.956562,43.75551
radiohead>>high and dry,-64.32721,2.3838675
grimes>>oblivion,-1.4635872,36.28843
otis redding>>sittin on the dock of the bay,18.55226,-66.65288
blackstreet>>no diggity,-1.9772142,13.82198
muse>>supermassive black hole,60.022,34.015903
arctic monkeys>>fluorescent adolescent,-36.259632,-21.131474
kiesza>>hideaway,-16.46587,-2.7034924
queen>>bohemian rhapsody,-12.265234,-63.499897
bob dylan>>like a rolling stone,-42.861256,51.441624
dr. dre>>the next episode,16.993639,1.2419465
of monsters and men>>mountain sound,-13.615247,46.240704
tame impala>>elephant,-30.987364,-20.843864
beyoncé>>single ladies put a ring on it,12.895416,12.057516
black sabbath>>paranoid,5.832867,68.186775
the strokes>>someday,35.50156,37.670944
lady gaga>>born this way,7.053145,-17.601093
natalie imbruglia>>torn,63.92777,-13.558055
aloe blacc>>i need a dollar,-38.268,5.8599987
joy division>>love will tear us apart,-38.80555,53.577568
jason mraz>>i wont give up,-14.230999,4.0982103
rihanna>>where have you been,14.278268,-13.63556
justin timberlake>>sexyback,12.150124,12.107797
avicii>>you make me,13.732996,-15.154092
jimmy eat world>>the middle,64.610535,15.164763
foo fighters>>my hero,-22.687506,59.524143
metallica>>enter sandman,-53.665493,-34.092987
incubus>>drive,-52.738037,-37.642265
jay z>>99 problems,17.888914,-28.444588
jackson 5>>i want you back,-63.508114,13.389485
tears for fears>>everybody wants to rule the world,-53.676247,-36.675926
train>>drive by,0.40545928,-10.936663
grimes>>genesis,-35.869305,-6.9542565
tove lo>>stay high - habits remix,11.262146,4.4267683
radiohead>>paranoid android,12.528229,64.80403
the proclaimers>>im gonna be 500 miles,-63.94674,14.363415
snoop dogg>>young  wild & free feat. bruno mars,14.675354,-15.190039
chvrches>>recover,15.721042,40.870617
pearl jam>>alive,19.994038,-65.257065
skrillex>>scary monsters and nice sprites,10.429134,10.75605
the cure>>boys dont cry,-11.858409,-61.245144
john mayer>>free fallin - live at the nokia theatre,-13.490384,-11.142533
creedence clearwater revival>>have you ever seen the rain,-64.45755,4.930741
calvin harris>>under control,14.325914,-6.574566
alabama shakes>>hold on,-40.440052,2.3246613
david guetta>>titanium - feat. sia,13.465648,-7.039634
aerosmith>>i dont want to miss a thing,-64.49601,13.650682
echosmith>>cool kids,4.629476,-13.113045
lady gaga>>telephone,13.74076,4.9026227
jack johnson>>better together,-9.244234,-45.696014
daughter>>youth,32.06484,-36.14687
nicki minaj>>super bass,13.75287,5.6655936
pearl jam>>even flow,-53.456062,-34.336555
bruno mars>>grenade,-14.117505,-3.1594067
the 1975>>chocolate,-14.355571,-33.687275
the xx>>vcr,48.198624,-8.466012
bryan adams>>summer of 69,60.69913,28.544622
the black keys>>everlasting light,-35.287506,-22.210297
jennifer lopez>>on the floor,3.082731,12.287216
beyoncé>>run the world girls,10.991576,12.753039
the smashing pumpkins>>tonight  tonight,64.10066,-4.244083
calvin harris>>outside,4.7822285,9.337338
beyoncé>>halo,-13.822457,-0.8657414
linkin park>>numb,10.500274,66.24121
the shins>>new slang,-13.546677,47.79645
50 cent>>in da club,-8.89944,2.4953308
katy perry>>teenage dream,13.657642,4.605181
grizzly bear>>two weeks,48.126324,-7.8780804
supergrass>>alright,16.246447,-67.3726
david guetta>>bad feat. vassy - radio edit,14.114732,-24.852898
haim>>forever,-34.84688,-6.6489487
bright eyes>>first day of my life,-35.293507,-20.220161
the war on drugs>>red eyes,14.128328,38.568634
the drums>>lets go surfing,-30.678934,24.502352
ellie goulding>>love me like you do - from fifty shades of grey,-10.18017,9.823315
daft punk>>around the world,34.251297,-48.353992
swedish house mafia>>greyhound,-14.460199,-3.7015922
maroon 5>>she will be loved,13.910583,13.136176
oasis>>dont look back in anger,-52.436283,-37.988873
electric guest>>this head i hold,47.931587,-4.670207
arctic monkeys>>when the sun goes down,59.32597,-28.901445
soft cell>>tainted love,60.754738,28.255093
drake>>started from the bottom,14.685798,7.5791326
the shins>>simple song,30.9825,36.9866
the notorious b.i.g.>>juicy,-8.714999,2.5732465
tame impala>>feels like we only go backwards,-33.409267,-20.057209
the naked and famous>>punching in a dream,11.393594,46.19245
bruno mars>>the lazy song,13.602071,4.0900526
birdy>>skinny love,30.850006,37.938587
the offspring>>the kids arent alright,64.6749,15.08592
bon jovi>>you give love a bad name,55.05158,-36.87063
dr. dre>>still d.r.e.,14.780925,7.8338404
amy winehouse>>rehab,37.37478,59.089996
mumford & sons>>winter winds,33.496292,-37.582146
sia>>breathe me,-9.298726,-43.08166
mumford & sons>>white blank page,33.551643,-37.6386
maroon 5>>sugar,11.233485,4.5360827
marvin gaye>>sexual healing,40.50715,52.333324
spice girls>>wannabe - radio edit,63.500122,-16.541056
m.i.a.>>bad girls,8.962793,-23.459202
charli xcx>>boom clap,9.0318985,-20.218283
justice>>d.a.n.c.e.,-17.600681,-26.575502
eminem>>not afraid,-1.8816522,14.089712
bruce springsteen>>dancing in the dark,-34.912643,-56.30261
kelly clarkson>>stronger what doesnt kill you,13.007026,6.100116
outkast>>ms. jackson,-2.6943908,14.3692875
disclosure>>help me lose my mind,-36.679623,-0.82557327
smash mouth>>all star,17.814152,-68.68287
flo rida>>whistle,14.315437,-13.731888
drake>>take care,15.686403,4.7884955
beach house>>myth,-5.787361,36.401844
adele>>set fire to the rain,14.227133,13.879442
ellie goulding>>lights - single version,-8.982082,9.268591
foo fighters>>all my life,20.054014,-65.21379
kaiser chiefs>>ruby,20.72604,44.89921
maroon 5>>maps,-9.86803,10.126357
miike snow>>animal,31.997168,-51.947636
daft punk>>fragments of time,-35.72484,-5.9577065
daft punk>>contact,-16.47587,-30.221676
katy perry>>last friday night t.g.i.f.,-10.550034,5.252875
bonnie tyler>>total eclipse of the heart,64.03186,-13.705684
men at work>>down under,-52.5055,-39.2334
the fray>>how to save a life,-60.101242,6.4155455
yeah yeah yeahs>>heads will roll,-39.36947,-2.299346
martin garrix>>animals,14.391653,-25.151834
britney spears>>till the world ends,13.477571,-7.2017336
lou reed>>walk on the wild side,61.30591,-14.927203
u2>>one,5.591622,68.77007
madonna>>like a prayer,-43.024654,54.917507
broken bells>>the high road,45.926174,8.198702
bloc party>>banquet,-8.320893,-45.614834
bruce springsteen>>born in the u.s.a.,-12.412868,-63.597935
the wanted>>glad you came,-14.204322,-3.5217628
ben howard>>keep your head up,-31.04178,23.71734
vampire weekend>>unbelievers,48.222984,-7.755621
bruno mars>>marry you,-3.8806212,9.337792
metronomy>>the look,45.831364,8.169142
the ting tings>>thats not my name,62.802105,16.985327
coldplay>>princess of china,3.9084368,10.952589
haim>>dont save me,-19.174807,-24.825085
two door cinema club>>undercover martyn,48.297436,-8.253157
taylor swift>>we are never ever getting back together,14.533099,-11.630606
aloe blacc>>the man,12.751568,1.2547623
pixies>>here comes your man,-64.2431,2.2977374
bob marley & the wailers>>could you be loved,-23.160877,-61.97689
the offspring>>pretty fly for a white guy,11.14176,65.22814
r.e.m.>>everybody hurts,-53.72535,-36.78674
lady gaga>>alejandro,18.200066,-69.14097
crystal castles>>not in love,-1.3759896,36.3085
young the giant>>cough syrup,-16.341743,-34.094257
gorillaz>>on melancholy hill,-0.1611971,36.875065
u2>>i still havent found what im looking for,-64.354546,13.47386
ed sheeran>>dont,-5.830073,-8.355012
bombay bicycle club>>shuffle,30.901413,36.91454
muse>>undisclosed desires,61.79099,-12.56517
beyoncé>>love on top,-5.1641426,9.380509
the clash>>london calling,-41.16111,53.104576
owl city>>fireflies,-13.59971,-10.930924
foster the people>>call it what you want,-13.859665,-35.18961
lykke li>>i follow rivers,-38.663624,5.6159906
the cranberries>>linger,-43.0754,50.16471
the smiths>>this charming man 2008 remastered version,66.29192,7.762204
fleetwood mac>>dreams,-51.764988,-39.206432
fall out boy>>my songs know what you did in the dark light em up,-1.3938478,9.544331
yeah yeah yeahs>>maps,-20.765484,45.448044
cyndi lauper>>girls just want to have fun,-60.62331,-16.055943
phil collins>>in the air tonight,-57.040874,29.687916
mc hammer>>u cant touch this,63.749435,-13.768819
radiohead>>fake plastic trees,-52.34389,-30.498169
blondie>>heart of glass,-64.42707,4.913255
vampire weekend>>step,34.145042,24.059078
lady gaga>>just dance,-10.79077,4.479682
taio cruz>>dynamite,0.36031517,-11.143126
bruce springsteen>>born to run,-12.463638,-63.577606
bill withers>>aint no sunshine,18.48191,-66.94062
ms mr>>hurricane,-38.43074,5.2945185
kanye west>>clique,0.8627516,-17.754038
buffalo springfield>>for what its worth,-61.9562,-15.208708
pitbull>>feel this moment,-13.037525,-9.495175
daft punk>>the game of love,41.8898,18.587765
blur>>girls and boys,-62.826626,-13.510554
daft punk>>within,30.21475,-33.858654
green day>>good riddance [time of your life],-61.935318,-5.723269
imogen heap>>hide and seek,-41.004917,2.2616081
mumford & sons>>babel,-9.12747,-44.8669
tlc>>no scrubs,-1.8642707,13.627261
the cardigans>>my favourite game,-21.90794,58.881317
coldplay>>trouble,60.900833,-11.713301
simon & garfunkel>>mrs. robinson,-35.36909,57.393402
avicii>>i could be the one [avicii vs nicky romero] - nicktim - radio edit,-15.495327,4.644162
idina menzel>>let it go,4.419395,-5.497127
lcd soundsystem>>dance yrself clean,-17.971031,-26.913815
red hot chili peppers>>scar tissue,37.99439,46.12098
moby>>porcelain,0.6544658,37.25236
phoenix>>entertainment,-30.842339,-20.786219
bob marley & the wailers>>three little birds,67.45186,2.01843
empire of the sun>>alive,31.420197,-50.32659
semisonic>>closing time,-31.562096,-57.978394
tracy chapman>>fast car,-13.695356,-11.820814
don omar>>danza kuduro,2.118718,-13.199927
rudimental>>feel the love - feat. john newman,-13.155084,-9.089909
aretha franklin>>respect,37.942368,58.29752
neil young>>heart of gold,-63.978157,2.7809217
avicii>>addicted to you,15.208854,-25.48884
jeff buckley>>hallelujah,-58.971714,-7.244066
new radicals>>you get what you give,54.855873,-36.37074
jackson 5>>abc,18.292957,-67.69164
abba>>dancing queen,-35.268127,-55.787987
zedd>>stay the night - featuring hayley williams of paramore,11.599375,4.574579
creedence clearwater revival>>bad moon rising,-8.074662,-62.923504
the police>>every breath you take,-53.731617,-36.862614
daft punk>>touch,45.213497,-6.898209
britney spears>>toxic,13.745947,-7.4474454
led zeppelin>>stairway to heaven,58.69367,30.885006
armin van buuren>>this is what it feels like,13.451928,-6.0329905
the cure>>close to me,-31.176558,-57.440697
tiësto>>wasted,14.287754,-10.5220585
sublime>>santeria,37.949287,46.417675
foo fighters>>times like these,64.34998,-3.7940936
neon trees>>everybody talks,-12.4161005,-11.083915
the xx>>heart skipped a beat,-39.676075,-2.0736606
whitney houston>>i wanna dance with somebody who loves me,-64.22442,14.407143
nirvana>>in bloom,-54.52298,32.263924
passion pit>>little secrets,-20.1998,28.093973
paramore>>misery business,-23.036,57.924145
gnarls barkley>>crazy,-33.032173,-53.87039
prince & the revolution>>purple rain,36.974888,59.273373
daft punk>>beyond,32.44343,-47.551075
foster the people>>dont stop color on the walls,-32.98646,-25.053709
the clash>>should i stay or should i go,41.056435,50.997597
simon & garfunkel>>the sound of silence,66.70045,7.27745
college & electric youth>>a real hero,30.057922,-52.05439
michael jackson>>love never felt so good,-9.877636,10.471177
bon iver>>perth,12.0702505,48.328827
arctic monkeys>>arabella,31.76955,-51.592686
jessie j>>price tag,4.17778,11.9084635
skrillex>>first of the year equinox,-13.181119,-9.068599
billy joel>>piano man,5.5317097,68.058174
muse>>time is running out,63.896133,-4.2205124
the cinematic orchestra>>to build a home,47.445255,-3.0812445
pearl jam>>jeremy,-54.56637,32.390488
fleet foxes>>white winter hymnal,32.72254,-36.068012
david guetta>>she wolf falling to pieces [feat. sia],11.798509,11.084002
system of a down>>toxicity,63.191814,-12.530635
major lazer>>lean on feat. mø & dj snake,-13.506445,8.120337
kanye west>>bound 2,7.5797396,-22.671707
lenny kravitz>>are you gonna go my way,16.33409,-68.16017
radiohead>>everything in its right place,-52.320164,-30.4995
